,tweet_id,dog_stage
9,890240255349198849,doggo
43,884162670584377345,doggo
99,872967104147763200,doggo
108,871515927908634625,doggo
110,871102520638267392,doggo
121,869596645499047938,doggo
172,858843525470990336,doggo
191,855851453814013952,doggo
200,854010172552949760,doggo
211,851953902622658560,doggo
240,846514051647705089,doggo
248,845397057150107648,doggo
300,836753516572119041,doggo
318,834574053763584002,doggo
323,834089966724603904,doggo
331,832998151111966721,doggo
339,832273440279240704,doggo
344,832032802820481025,doggo
345,831939777352105988,doggo
351,831322785565769729,doggo
359,829878982036299777,doggo
362,829449946868879360,doggo
363,829374341691346946,doggo
372,828381636999917570,doggo
384,826958653328592898,doggo
385,826848821049180160,doggo
389,826476773533745153,doggo
391,826204788643753985,doggo
423,821765923262631936,doggo
425,821421320206483457,doggo
426,821407182352777218,doggo
429,821107785811234820,doggo
440,819924195358416896,doggo
446,819015337530290176,doggo
447,819015331746349057,doggo
448,819006400881917954,doggo
449,819004803107983360,doggo
460,817777686764523521,doggo
489,813910438903693312,doggo
493,813202720496779264,doggo
499,813127251579564032,doggo
501,813096984823349248,doggo
531,808106460588765185,doggo
565,802265048156610565,doggo
574,801127390143516673,doggo
575,801115127852503040,doggo
576,800859414831898624,doggo
585,800018252395122689,doggo
587,799757965289017345,doggo
616,796484825502875648,doggo
624,795464331001561088,doggo
698,786363235746385920,doggo
705,785639753186217984,doggo
724,782747134529531904,doggo
727,782305867769217024,doggo
731,781655249211752448,doggo
733,781308096455073793,doggo
746,780074436359819264,doggo
764,777953400541634568,doggo
778,775898661951791106,doggo
780,775733305207554048,doggo
782,775364825476165632,doggo
807,771908950375665664,doggo
818,770743923962707968,doggo
822,770093767776997377,doggo
835,768193404517830656,doggo
839,767191397493538821,doggo
857,763956972077010945,doggo
877,760893934457552897,doggo
881,760521673607086080,doggo
889,759793422261743616,doggo
899,758828659922702336,doggo
914,757393109802180609,doggo
919,756526248105566208,doggo
924,755206590534418437,doggo
944,752682090207055872,doggo
945,752660715232722944,doggo
948,752334515931054080,doggo
956,751583847268179968,doggo
967,750381685133418496,doggo
977,750011400160841729,doggo
985,749075273010798592,doggo
989,748932637671223296,doggo
992,748692773788876800,doggo
1030,745433870967832576,doggo
1039,744234799360020481,doggo
1051,742534281772302336,doggo
1063,741067306818797568,doggo
1075,739623569819336705,doggo
1079,739238157791694849,doggo
1103,735256018284875776,doggo
1113,733109485275860992,doggo
1117,732375214819057664,doggo
1141,727644517743104000,doggo
1156,724771698126512129,doggo
1176,719991154352222208,doggo
1204,716080869887381504,doggo
2402,883360690899218434,floofer
2556,854010172552949760,floofer
2938,800388270626521089,floofer
3130,776218204058357768,floofer
3340,749317047558017024,floofer
3378,746542875601690625,floofer
3447,737445876994609152,floofer
3466,733822306246479872,floofer
3890,689993469801164801,floofer
3970,685307451701334016,floofer
4741,886366144734445568,pupper
4761,882762694511734784,pupper
4768,881536004380872706,pupper
4790,877611172832227328,pupper
4794,876838120628539392,pupper
4804,874296783580663808,pupper
4809,873337748698140672,pupper
4810,873213775632977920,pupper
4819,871762521631449091,pupper
4844,866816280283807744,pupper
4847,866450705531457537,pupper
4849,866094527597207552,pupper
4911,854120357044912130,pupper
4932,850019790995546112,pupper
4934,849668094696017920,pupper
4961,845306882940190720,pupper
4993,839290600511926273,pupper
5005,837820167694528512,pupper
5009,837110210464448512,pupper
5016,836380477523124226,pupper
5042,833124694597443584,pupper
5064,831315979191906304,pupper
5090,827933404142436356,pupper
5114,824325613288833024,pupper
5130,822462944365645825,pupper
5156,819238181065359361,pupper
5165,818588835076603904,pupper
5172,817777686764523521,pupper
5174,817502432452313088,pupper
5177,817181837579653120,pupper
5190,815966073409433600,pupper
5195,814986499976527872,pupper
5227,811386762094317568,pupper
5239,808733504066486276,pupper
5243,808106460588765185,pupper
5245,807621403335917568,pupper
5268,803638050916102144,pupper
5277,802265048156610565,pupper
5287,801115127852503040,pupper
5292,800459316964663297,pupper
5293,800443802682937345,pupper
5295,800188575492947969,pupper
5306,798705661114773508,pupper
5311,798682547630837760,pupper
5320,797971864723324932,pupper
5343,794205286408003585,pupper
5366,791821351946420224,pupper
5384,789903600034189313,pupper
5394,788552643979468800,pupper
5417,785639753186217984,pupper
5445,781308096455073793,pupper
5460,779377524342161408,pupper
5474,778039087836069888,pupper
5475,778027034220126208,pupper
5482,776819012571455488,pupper
5484,776477788987613185,pupper
5488,776113305656188928,pupper
5490,775898661951791106,pupper
5501,773985732834758656,pupper
5505,773547596996571136,pupper
5514,772193107915964416,pupper
5527,771004394259247104,pupper
5534,770093767776997377,pupper
5541,768909767477751808,pupper
5565,765371061932261376,pupper
5572,763167063695355904,pupper
5598,759943073749200896,pupper
5601,759793422261743616,pupper
5623,757597904299253760,pupper
5629,756939218950160384,pupper
5635,755955933503782912,pupper
5663,751950017322246144,pupper
5668,751583847268179968,pupper
5670,751456908746354688,pupper
5674,750868782890057730,pupper
5676,750506206503038976,pupper
5678,750383411068534784,pupper
5685,750071704093859840,pupper
5693,749417653287129088,pupper
5708,748337862848962560,pupper
